Country,CountryStandardised
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antarctic fisheries,Antarctic Fisheries
Antigua & barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Plurinational state of bolivia,Bolivia
"Bonaire, saint eustatius, and saba",Bonaire Sint Eustatius and Saba
Bosnia & herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British virgin islands,British Virgin Islands
Brunei (darussalam),Brunei
Bulgaria,Bulgaria
Burkina faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Republic of cameroon,Cameroon
Canada,Canada
Cape verde,Cape Verde
Cayman islands,Cayman Islands
Central african republic,Central African Republic
Chad,Chad
Chile,Chile
China (mainland),China
Christmas island,Christmas Island
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Cook islands,Cook Islands
Costa rica,Costa Rica
Cote d ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Curacao,Curacao
Cyprus,Cyprus
Czech republic,Czech Republic
Czechoslovakia,Czechoslovakia
Democratic republic of the congo (formerly zaire),Democratic Republic of Congo
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El salvador,El Salvador
Equatorial guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Faeroe islands,Faeroe Islands
Falkland islands (malvinas),Falkland Islands
Fiji,Fiji
Finland,Finland
France (including monaco),France
French equatorial africa,French Equatorial Africa
French guiana,French Guiana
French polynesia,French Polynesia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Federal republic of germany,Germany
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guatemala,Guatemala
Guinea,Guinea
Guinea bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong kong special adminstrative region of china,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Islamic republic of iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy (including san marino),Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kuwait,Kuwait
Kuwaiti oil fires,Kuwaiti Oil Fires
Kyrgyzstan,Kyrgyzstan
Lao people s democratic republic,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libyan arab jamahiriyah,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macau special adminstrative region of china,Macau
Macedonia,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Peninsular malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall islands,Marshall Islands
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Federated states of micronesia,Micronesia
